Date,Fractal,Markowitz
2018-10-12,4.668464731396737,4.469617726343269
2018-10-15,4.585466047482735,4.391869794081317
2018-10-16,4.763204535489155,4.557991730834882
2018-10-17,4.745824350961141,4.533916463393293
2018-10-18,4.622537891018831,4.418209127108786
2018-10-19,4.568829333343367,4.368986638239702
2018-10-22,4.6125170335549,4.4097522477639295
2018-10-23,4.627998169130192,4.424889516374215
2018-10-24,4.383220813816189,4.196014567623804
2018-10-25,4.577203734742177,4.374646219900922
2018-10-26,4.4832895188624,4.282275809995176
2018-10-29,4.351640811546983,4.156416984953846
2018-10-30,4.412088369893025,4.211723192536088
2018-10-31,4.530413172559162,4.322900538938335
2018-11-01,4.594407240805542,4.383568059370479
2018-11-02,4.528726239963344,4.321049810817239
2018-11-05,4.524569721760687,4.318167865224537
2018-11-06,4.5360283041532385,4.331986694035326
2018-11-07,4.6914947234048805,4.477425744947798
2018-11-08,4.658131483889348,4.447900942047769
2018-11-09,4.572794827667385,4.369206637310212
2018-11-12,4.398699857960631,4.202074715381456
2018-11-13,4.430198438344752,4.230642294660007
2018-11-14,4.386299488236198,4.18739195494109
2018-11-15,4.473507722107812,4.273332972248219
2018-11-16,4.405026452693373,4.206260651395842
2018-11-19,4.194074679572637,4.008276044920297
2018-11-20,4.145077612528926,3.9584806568054103
2018-11-21,4.160765623726623,3.973392856663618
2018-11-23,4.112476455368286,3.9272046550470665
2018-11-26,4.2317219310115215,4.038660092316912
2018-11-27,4.242021021959759,4.047464770047392
2018-11-28,4.408352415197791,4.204467486687444
2018-11-29,4.388437913406381,4.185014679760886
2018-11-30,4.452825276405577,4.247040148780131
2018-12-03,4.537443457915086,4.329022048996974
2018-12-04,4.36088598317968,4.16190017812147
2018-12-06,4.405197259624381,4.201551721872637
2018-12-07,4.231212092463932,4.03718263873462
2018-12-10,4.305314235809318,4.105606922700502
2018-12-11,4.3011033074325935,4.1002276831147695
2018-12-12,4.347184115232026,4.143927407248449
2018-12-13,4.370100260389858,4.164315179494604
2018-12-14,4.248064063982767,4.050603804549369
2018-12-17,4.124186744271228,3.9322998450812845
2018-12-18,4.172654934982864,3.976156217400563
2018-12-19,4.076142451865373,3.887211457296099
2018-12-20,3.993596120631689,3.807615903750559
2018-12-21,3.850795074719189,3.6726504877959054
2018-12-24,3.736341443855941,3.5634687508978944
2018-12-26,3.9916461138664285,3.8025558632840015
2018-12-27,4.0040714047112935,3.8157954956110247
2018-12-28,4.017434776728436,3.828247853006074
2018-12-31,4.051944948788485,3.8611154287049425
2019-01-02,4.052962414556225,3.8627588147400522
2019-01-03,3.9050285619049365,3.722239904936634
2019-01-04,4.111324926727087,3.9166340844560756
2019-01-07,4.19113695031807,3.9927617442892873
2019-01-08,4.23658278638644,4.0359298403522486
2019-01-09,4.264432252518273,4.061268292789694
2019-01-10,4.288943936507281,4.084576332692537
2019-01-11,4.304061996243515,4.099111640274978
2019-01-14,4.263170920557584,4.060665678766142
2019-01-15,4.365651258781597,4.155340124979827
2019-01-16,4.3584147808784035,4.148900746362614
2019-01-17,4.391782042947714,4.180651936990379
2019-01-18,4.385097782928814,4.1767370545658595
2019-01-22,4.28626952983193,4.084321158833557
2019-01-23,4.297435341029448,4.102620446526835
2019-01-24,4.329148398911059,4.131092832060112
2019-01-25,4.375994727860521,4.179328518936027
2019-01-28,4.2863604056941025,4.0943193012181105
2019-01-29,4.228354919228835,4.041524113308805
2019-01-30,4.359784381678642,4.164969270735853
2019-01-31,4.429601829821385,4.231006921731852
2019-02-01,4.432286844491983,4.23365421879118
2019-02-04,4.50892438050631,4.303666567689959
2019-02-05,4.555908809717641,4.346789865479414
2019-02-06,4.538308673179429,4.332214425587472
2019-02-07,4.456311673159202,4.252798237658257
2019-02-08,4.469419787927669,4.266531316729083
2019-02-11,4.476894476556831,4.274746495380485
2019-02-12,4.547704463439174,4.340770625202522
2019-02-13,4.535187792644426,4.329689918477182
2019-02-14,4.542926249640044,4.336929423689579
2019-02-15,4.560357130084506,4.35463747125839
2019-02-19,4.570354399596022,4.365593792634339
2019-02-20,4.5600250758949175,4.355716011820721
2019-02-21,4.536452290051645,4.332704104458953
2019-02-22,4.593078438534997,4.386160009966693
2019-02-25,4.616989624571015,4.408529352665342
2019-02-26,4.62842503825869,4.419031456308394
2019-02-27,4.64292027763489,4.43250507406374
2019-02-28,4.632224665949001,4.422113723336802
2019-03-01,4.636477047051961,4.4266468298742385
2019-03-04,4.616836901207289,4.40669890799889
2019-03-05,4.6139502725424535,4.4038780375693625
2019-03-06,4.597954583340485,4.388447177629631
2019-03-07,4.547385878360055,4.340894464863436
2019-03-08,4.553443914472295,4.346666536325441
2019-03-11,4.662405434250402,4.449925093761296
2019-03-12,4.674873985611926,4.461968365720935
2019-03-13,4.724302314489902,4.5084462463406245
2019-03-14,4.71202042260108,4.498272320174221
2019-03-15,4.704944459007401,4.494019275836341
2019-03-18,4.705527457066127,4.496337134622984
2019-03-19,4.730139519097176,4.520100840041344
2019-03-20,4.762586309289791,4.547764724314256
2019-03-21,4.845993329069032,4.6288232357137895
2019-03-22,4.718782577739239,4.508212577322358
2019-03-25,4.711336329938202,4.49966564192356
2019-03-26,4.7348596108948495,4.522207334041694
2019-03-27,4.703906386520288,4.493553357081942
2019-03-28,4.717106079388447,4.5069780008286795
2019-03-29,4.7590206699748485,4.547321931035375
2019-04-01,4.842490685288976,4.626891808320953
2019-04-02,4.854746457346265,4.637961775895093
2019-04-03,4.895919072358074,4.676646550111486
2019-04-04,4.854369280968788,4.6365839915600215
2019-04-05,4.869481038010621,4.652049291155176
2019-04-08,4.872237663610297,4.6554565542533854
2019-04-09,4.85913285021216,4.641838767210223
2019-04-10,4.89782549963949,4.679383630789473
2019-04-11,4.889241299222323,4.670774832438859
2019-04-12,4.890476996667125,4.673256821109374
2019-04-15,4.879702115942451,4.662919665432506
2019-04-16,4.9118412947020555,4.693843991651717
2019-04-17,4.902785569005694,4.6792234171081555
2019-04-18,4.920521829289781,4.695691163625837
2019-04-22,4.953327859624454,4.7244289877669985
2019-04-23,5.011069137362337,4.779010979870299
2019-04-24,4.977990707680622,4.749221214840184
2019-04-25,4.9800822962109725,4.746795156417987
2019-04-26,4.934491159348925,4.708096238891471
2019-04-29,4.94617683292183,4.719075113807261
